Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	pair33sc	4000tt	3	P07	#122#138#212#219#264#388#568#587#	#67#129#170#225#504#555#615#	#30#88#154#160#318#520#529#	#140#358#	#572#	#97#618#	#
M01	pair33sc	4000tt	4	P07	#185#191#511#542#593#618#	#39#53#87#94#175#526#	#135#205#235#331#432#611#	#52#551#	#13#42#172#	#8#82#	#
M01	pair33sc	4000tt	5	P07	#43#94#164#560#614#619#	#109#123#174#305#356#409#624#	#41#105#238#381#488#593#	#30#205#503#609#	#88#308#603#	#51#112#156#	#
M01	pair33sc	4000tt	6	P07	#36#63#174#528#	#73#229#310#516#	#188#361#471#533#	#54#170#257#485#	#43#131#329#585#	#59#158#219#530#	#
M01	pair33sc	4000tt	7	P07	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P07	#	#	#	#	#	#	#
M01	pair33sc	4000tt	9	P07	#114#318#398#	#	#	#121#226#	#539#616#	#	#
M01	pair33sc	4000tt	10	P07	#290#	#40#200#	#349#437#	#	#	#	#
M01	pair33sc	4000tt	11	P07	#	#	#	#	#	#	#
M01	pair33sc	4000tt	12	P07	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P08	#81#139#141#362#	#275#405#423#476#	#21#218#351#360#	#215#262#319#393#	#12#267#457#599#	#15#474#561#578#	#
M01	pair33sc	4000tt	2	P08	#10#65#86#213#294#338#536#613#619#	#296#525#	#41#70#101#408#422#561#	#166#242#392#	#312#	#31#379#455#456#475#	#438#
M01	pair33sc	4000tt	3	P08	#44#113#165#287#298#537#548#	#379#422#455#494#624#	#31#70#244#431#554#	#90#237#314#414#	#33#	#10#135#375#	#
M01	pair33sc	4000tt	4	P08	#114#351#384#474#	#47#229#239#242#317#576#	#66#165#186#245#259#	#70#121#126#209#	#84#340#404#	#	#5#
M01	pair33sc	4000tt	5	P08	#83#134#336#360#364#535#591#	#20#169#193#325#492#498#552#	#19#39#167#264#469#481#	#79#96#522#	#99#306#	#58#200#246#590#	#
M01	pair33sc	4000tt	6	P08	#6#210#284#411#	#220#357#365#481#	#15#67#392#577#	#25#56#126#597#	#276#288#532#584#	#104#118#138#522#	#
M01	pair33sc	4000tt	7	P08	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P08	#	#	#	#	#	#	#
M01	pair33sc	4000tt	9	P08	#179#	#176#	#82#214#	#	#	#	#
M01	pair33sc	4000tt	10	P08	#417#476#477#506#579#	#	#	#378#546#	#58#	#	#
M01	pair33sc	4000tt	11	P08	#	#	#	#	#	#	#
M01	pair33sc	4000tt	12	P08	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P09	#350#391#411#618#	#54#140#336#369#	#60#223#398#482#	#8#407#449#598#	#230#499#518#616#	#11#110#258#535#	#
M01	pair33sc	4000tt	2	P09	#253#273#394#493#539#591#	#94#105#131#289#	#40#88#152#184#191#359#548#555#	#401#448#529#546#	#20#	#33#133#158#535#	#558#
M01	pair33sc	4000tt	3	P09	#182#352#392#617#	#282#557#	#87#609#	#11#523#	#281#398#415#546#567#	#39#106#186#483#510#515#610#612#	#
M01	pair33sc	4000tt	4	P09	#254#323#502#548#	#85#88#492#	#26#37#234#374#393#558#571#599#	#6#134#291#539#568#585#	#424#572#	#251#	#
M01	pair33sc	4000tt	5	P09	#55#78#317#547#570#610#	#35#77#154#177#	#3#321#415#430#477#622#	#32#110#518#540#608#	#355#358#421#	#106#176#241#	#295#
M01	pair33sc	4000tt	6	P09	#253#290#369#455#	#5#81#204#	#85#470#615#619#	#62#79#161#467#514#	#28#307#419#428#	#75#165#280#294#	#
M01	pair33sc	4000tt	7	P09	#	#	#	#	#	#	#
M01	pair33sc	4000tt	8	P09	#	#	#	#	#	#	#
M01	pair33sc	4000tt	9	P09	#233#	#	#34#40#65#85#208#287#	#	#392#518#	#78#	#
M01	pair33sc	4000tt	10	P09	#	#	#	#208#	#470#548#	#	#
M01	pair33sc	4000tt	11	P09	#	#	#	#	#	#	#
M01	pair33sc	4000tt	12	P09	#	#	#	#	#	#	#
